Nombre Curso,NRC,Catedra,Ayudantia,Lab
Computación: Ciencia y Tecnología del Mundo Digital,10626,M:2;J:2,W:6,
Introduccion a las Aplicaciones Computacionales,10641,M:4;J:4,V:4,
Introduccion a las Aplicaciones Computacionales,10647,M:3;J:3,M:4,
Introduccion a las Aplicaciones Computacionales,10633,L:1;W:1,V:1,
Hipermedios en la Transmisión del Conocimiento,10655,L:5;W:5,,
Hipermedios en la Transmisión del Conocimiento,10660,L:5;W:5,,
Hipermedios en la Transmisión del Conocimiento,10665,L:5;W:5,,
Introducción a la Programación,10677,M:1;J:1,,M:5;M:6
Introducción a la Programación,10694,M:1;J:1,,L:5;L:6
Introducción a la Programación,10690,M:2;J:2,,L:5;L:6
Introducción a la Programación,10682,M:2;J:2,,M:5;M:6
Matemáticas Discretas,10706,L:2;W:2,V:2,
Matemáticas Discretas,20789,L:2;W:2,V:2,
Programación Como Herramienta para la Ingeniería,10720,L:4;L:5,J:5,
Estructuras de Datos y Algoritmos,10725,L:4;W:4,V:4,
Ingeniería de Software,10732,L:3;W:3,V:3,
Ingeniería de Software,18743,L:3;W:3,V:3,
Proyecto de Especialidad,10739,J:5;J:6,J:4,
Lógica para Ciencias de la Computación,10747,L:5;W:5,V:4,
Programación Avanzada,10760,J:4;J:5,M:4,
Programación Avanzada,10754,J:4;J:5,M:4,
Programación Avanzada,18284,J:4;J:5,M:4,
Sistemas Operativos y Redes,10775,L:2;W:2,V:2,
Arquitectura de Computadores,10784,L:2;W:2,V:2,
Bases de Datos,10791,L:5;W:5,V:5,
Tecnologías y Aplicaciones Web,10798,M:3;J:3,,
Taller de Programacion Avanzada,10804,,,V:4;V:5;V:6
Inteligencia Artificial,18709,M:1;J:1,L:5,
Robótica Móvil,15386,L:4;W:4,,
Sistemas de Información,10809,M:2;J:2,W:6,
Sistemas de Información,16995,M:2;J:2,W:6,
Fundamentos de Procesamiento de Imágenes,14779,M:4;J:4,,
Modelos de Procesos,10825,L:3;W:3;V:3,,
Taller de Integración,10868,L:5;L:6,J:4,
Gestión de Proyectos de Tecnologías de Información,10876,M:1;J:1,,
Desarrollo de Software,10881,L:1;W:1,,
Interfaces Humano Computador,18724,J:4;J:5,,
Complejidad Computacional,15162,L:4;W:4,,
Criptografía y Seguridad Computacional,10892,M:4;J:4,M:5,
Cryptomonedas y contratos inteligentes,21977,L:5;W:5,,
Algoritmos y aleatoriedad,21978,L:3;W:3,V:3,
Computación de Alto Rendimiento,18873,M:3;J:3,,
Taller de Groupware,15165,J:4;J:5,,
Diseño avanzado de aplicaciones ,12669,L:4;W:4,,
Topicos Avanzados en Inteligencia Artificial,18708,L:3;W:3,,
Tópicos Avanzados en Inteligencia de Máquina,19309,M:4;J:4,M:5,
Aprendizaje Profundo,18871,L:2;W:2,,
Gestión de Operaciones Ti,10923,V:1;V:2,,
Reconocimiento de Patrones,10930,M:3;J:3,,
Minería de Procesos,10947,W:4;W:5,V:4,
Audicion por computador,19354,M:2;J:2,,
Tópicos Avanzados en Teoría de la Computación,15169,M:2;J:2,W:6,
