,,,,2016-1,,,2016-2,,,2017-1,,,2017-2,,,2018-1,,,2018-2,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGLA,Nombre Curso,Bloques*,Tendencia,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,,,,,,,,,,,,,,,,,,,,,,,,,
IIC1103,Introducción a la Programación,1,Ambos,471,1,6,781,3,10,413,3,6,736,5,9,370,2,6,875,3,7,3646,2.8,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
IIC1253,Matemáticas Discretas,10,Ambos,118,0,1,79,0.5,1,133,0,1,110,0.5,1,150,0,1,192,2,2,782,0.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2115,Programación Como Herramienta para Ingeniería,1,Ambos,25,1,1,27,1,1,52,1,1,50,0,1,76,0,1,97,0.5,1,327,0.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2133,Estructuras de Datos y Algoritmos,15,Ambos,42,0,1,84,0,1,80,0,1,75,0,1,95,0,1,125,0,1,501,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2143,Ingeniería de Software,10,Ambos,49,0,1,58,0,1,74,0,1,97,0,1,112,1,2,131,0,2,521,0.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2154,Proyecto de Especialidad ,7,Ambos,45,0,1,49,0,1,52,0,1,43,0,1,65,0,1,55,0,1,309,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2233,Programación Avanzada,18,Ambos,110,1,2,137,2,3,143,2,3,160,3,3,223,4,5,288,3,3,1061,2.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2333,Sistemas Operativos y Redes,5,Ambos,40,0,1,41,0,1,80,0,1,58,0,1,77,0,1,53,0,1,349,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2343,Arquitectura de Computadores,6,Ambos,64,1,1,75,1,1,104,0,1,86,0,1,57,0,1,100,0.5,1,486,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2413,Bases de Datos,15,Ambos,72,0,1,66,1,1,93,0,1,78,1,1,110,0,1,116,1,1,535,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
